ticker,title,summary,publisher,link,publish_date,type,related_tickers,source,overall_sentiment_score,overall_sentiment_label
"MS, BCS, CRWD",Market Whales and Their Recent Bets on CRWD Options - CrowdStrike Holdings  ( NASDAQ:CRWD ) ,"High-rolling investors have positioned themselves bearish on CrowdStrike Holdings CRWD, and it's important for retail traders to take note. \This activity came to our attention today through Benzinga's tracking of publicly available options data.",Benzinga,https://www.benzinga.com/insights/options/24/11/42139591/market-whales-and-their-recent-bets-on-crwd-options,11/22/2024 15:01,"[{'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.995077'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]","MS, BCS, CRWD",Alpha,0.08826,Neutral
META,Competitor Analysis: Evaluating Meta Platforms And Competitors In Interactive Media & Services Industry - Meta Platforms  ( NASDAQ:META ) ,"In the ever-changing and fiercely competitive business landscape, conducting thorough company analysis is crucial for investors and industry experts. In this article, we will undertake a comprehensive industry comparison, evaluating Meta Platforms META and its primary competitors in the ...",Benzinga,https://www.benzinga.com/insights/news/24/11/42139564/competitor-analysis-evaluating-meta-platforms-and-competitors-in-interactive-media-amp-services-ind,11/22/2024 15:00,"[{'topic': 'Earnings', 'relevance_score': '0.875462'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.996023'}]",META,Alpha,0.343582,Somewhat-Bullish
AAPL,"Insights Into Apple's Performance Versus Peers In Technology Hardware, Storage & Peripherals Sector - Apple  ( NASDAQ:AAPL ) ","In today's rapidly evolving and fiercely competitive business landscape, it is crucial for investors and industry analysts to conduct comprehensive company evaluations.",Benzinga,https://www.benzinga.com/insights/news/24/11/42139561/insights-into-apples-performance-versus-peers-in-technology-hardware-storage-amp-peripherals-sector,11/22/2024 15:00,"[{'topic': 'Earnings', 'relevance_score': '0.875462'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.503496'}]",AAPL,Alpha,0.2673,Somewhat-Bullish
NVDA,Industry Comparison: Evaluating NVIDIA Against Competitors In Semiconductors & Semiconductor Equipment Industry - NVIDIA  ( NASDAQ:NVDA ) ,"In today's fast-paced and highly competitive business world, it is crucial for investors and industry followers to conduct comprehensive company evaluations. In this article, we will delve into an extensive industry comparison, evaluating NVIDIA NVDA in relation to its major competitors in the ...",Benzinga,https://www.benzinga.com/insights/news/24/11/42139543/industry-comparison-evaluating-nvidia-against-competitors-in-semiconductors-amp-semiconductor-equip,11/22/2024 15:00,"[{'topic': 'Earnings', 'relevance_score': '0.976913'}, {'topic': 'Financial Markets', 'relevance_score': '0.503496'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",NVDA,Alpha,0.297057,Somewhat-Bullish
,NOTICE TO THE EXTRAORDINARY GENERAL MEETING OF DOVRE GROUP PLC,"Dovre Group Plc Stock Exchange Release November 22, 2024, at 5 p.m.",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/22/2986059/0/en/NOTICE-TO-THE-EXTRAORDINARY-GENERAL-MEETING-OF-DOVRE-GROUP-PLC.html,11/22/2024 15:00,"[{'topic': 'Financial Markets', 'relevance_score': '0.77141'}]",,Alpha,0.231438,Somewhat-Bullish
"TKR, TMDX, ATKR, ROOT, HCA","This HCA Healthcare Analyst Is No Longer Bullish; Here Are Top 5 Downgrades For Friday - Atkore  ( NYSE:ATKR ) , HCA Healthcare  ( NYSE:HCA ) ","Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page. Raymond James analyst John Ransom downgraded the rating for HCA Healthcare, Inc.",Benzinga,https://www.benzinga.com/24/11/42139477/this-hca-healthcare-analyst-is-no-longer-bullish-here-are-top-5-downgrades-for-friday,11/22/2024 14:56,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.977154'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]","TKR, TMDX, ATKR, ROOT, HCA",Alpha,0.308862,Somewhat-Bullish
,"Orange 142 Introduces Emerging Channels Council to Guide SMBs in Retail Media, Social Media, and Connected TV - Direct Digital Holdings  ( NASDAQ:DRCT ) ",The new council empowers SMBs to effectively integrate these channels into their marketing strategies,Benzinga,https://www.benzinga.com/pressreleases/24/11/n42139431/orange-142-introduces-emerging-channels-council-to-guide-smbs-in-retail-media-social-media-and-con,11/22/2024 14:55,"[{'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",,Alpha,0.334258,Somewhat-Bullish
"MAPS, META","Faruqi & Faruqi Reminds WM Technology Investors of the Pending Class Action Lawsuit with a Lead Plaintiff Deadline of December 16, 2024 - MAPS - WM Tech  ( NASDAQ:MAPS ) ","Faruqi & Faruqi, LLP Securities Litigation Partner James ( Josh ) Wilson Encourages Investors Who Suffered Losses Exceeding $75,000 In WM Technology To Contact Him Directly To Discuss Their Options",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42139425/faruqi-faruqi-reminds-wm-technology-investors-of-the-pending-class-action-lawsuit-with-a-lead-plai,11/22/2024 14:54,"[{'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}]","MAPS, META",Alpha,0.090094,Neutral
"MAPS, META","Faruqi & Faruqi Reminds WM Technology Investors of the Pending Class Action Lawsuit with a Lead Plaintiff Deadline of December 16, 2024 - MAPS - WM Tech  ( NASDAQ:MAPS ) ","Faruqi & Faruqi, LLP Securities Litigation Partner James ( Josh ) Wilson Encourages Investors Who Suffered Losses Exceeding $75,000 In WM Technology To Contact Him Directly To Discuss Their Options",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42139426/faruqi-faruqi-reminds-wm-technology-investors-of-the-pending-class-action-lawsuit-with-a-lead-plai,11/22/2024 14:54,"[{'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}]","MAPS, META",Alpha,0.090094,Neutral
"X, SPGI",Why U.S. Steel Stock Soared This Week,United States Steel ( NYSE: X ) announced an agreement to be acquired late last year. But the stock performance this year doesn't look like what one normally would expect from a buyout candidate with a hefty premium.Nippon Steel's $14.9 billion offer represented a nearly 40% premium to U.S.,Motley Fool,https://www.fool.com/investing/2024/11/22/why-us-steel-stock-soared-this-week/,11/22/2024 14:53,"[{'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]","X, SPGI",Alpha,0.212442,Somewhat-Bullish
"META, EVLV","Faruqi & Faruqi Reminds Evolv Investors of the Pending Class Action Lawsuit with a Lead Plaintiff Deadline of December 31, 2024 - EVLV - Evolv Technologies  ( NASDAQ:EVLV ) ","Faruqi & Faruqi, LLP Securities Litigation Partner James ( Josh ) Wilson Encourages Investors Who Suffered Losses Exceeding $75,000 In Evolv To Contact Him Directly To Discuss Their Options",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42139404/faruqi-faruqi-reminds-evolv-investors-of-the-pending-class-action-lawsuit-with-a-lead-plaintiff-de,11/22/2024 14:53,"[{'topic': 'Financial Markets', 'relevance_score': '0.77141'}, {'topic': 'Earnings', 'relevance_score': '0.214378'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}]","META, EVLV",Alpha,0.187313,Somewhat-Bullish
"META, XRX","Faruqi & Faruqi Reminds Xerox Investors of the Pending Class Action Lawsuit with a Lead Plaintiff Deadline of January 21, 2025 - XRX - Xerox Holdings  ( NASDAQ:XRX ) ","Faruqi & Faruqi, LLP Securities Litigation Partner James ( Josh ) Wilson Encourages Investors Who Suffered Losses Exceeding $75,000 In Xerox To Contact Him Directly To Discuss Their Options",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42139393/faruqi-faruqi-reminds-xerox-investors-of-the-pending-class-action-lawsuit-with-a-lead-plaintiff-de,11/22/2024 14:52,"[{'topic': 'Earnings', 'relevance_score': '0.928769'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}]","META, XRX",Alpha,0.072671,Neutral
"META, XRX","Faruqi & Faruqi Reminds Xerox Investors of the Pending Class Action Lawsuit with a Lead Plaintiff Deadline of January 21, 2025 - XRX - Xerox Holdings  ( NASDAQ:XRX ) ","Faruqi & Faruqi, LLP Securities Litigation Partner James ( Josh ) Wilson Encourages Investors Who Suffered Losses Exceeding $75,000 In Xerox To Contact Him Directly To Discuss Their Options",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42139394/faruqi-faruqi-reminds-xerox-investors-of-the-pending-class-action-lawsuit-with-a-lead-plaintiff-de,11/22/2024 14:52,"[{'topic': 'Earnings', 'relevance_score': '0.928769'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}]","META, XRX",Alpha,0.072671,Neutral
"MU, FOREX:AMD",A Closer Look at Micron Technology's Options Market Dynamics - Micron Technology  ( NASDAQ:MU ) ,"Deep-pocketed investors have adopted a bearish approach towards Micron Technology MU, and it's something market players shouldn't ignore. Our tracking of public options records at Benzinga unveiled this significant move today.",Benzinga,https://www.benzinga.com/insights/options/24/11/42139343/a-closer-look-at-micron-technologys-options-market-dynamics,11/22/2024 14:50,"[{'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]","MU, FOREX:AMD",Alpha,0.188278,Somewhat-Bullish
"SPGI, ACHR, JOBY",Why Archer Aviation Rallied This Week,One analyst is bullish on the eVTOL market later this decade.,Motley Fool,https://www.fool.com/investing/2024/11/22/why-archer-aviation-rallied-this-week/,11/22/2024 14:50,"[{'topic': 'Earnings', 'relevance_score': '0.796627'}, {'topic': 'Real Estate & Construction', 'relevance_score': '1.0'}, {'topic': 'IPO', 'relevance_score': '0.158519'}]","SPGI, ACHR, JOBY",Alpha,0.213569,Somewhat-Bullish
TSLA,Unpacking the Latest Options Trading Trends in Tesla - Tesla  ( NASDAQ:TSLA ) ,"Deep-pocketed investors have adopted a bearish approach towards Tesla TSLA, and it's something market players shouldn't ignore. Our tracking of public options records at Benzinga unveiled this significant move today.",Benzinga,https://www.benzinga.com/insights/options/24/11/42139342/unpacking-the-latest-options-trading-trends-in-tesla,11/22/2024 14:49,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.955357'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",TSLA,Alpha,0.235314,Somewhat-Bullish
BIDU,Behind the Scenes of Baidu's Latest Options Trends - Baidu  ( NASDAQ:BIDU ) ,"Investors with a lot of money to spend have taken a bearish stance on Baidu BIDU. We noticed this today when the trades showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",Benzinga,https://www.benzinga.com/insights/options/24/11/42139341/behind-the-scenes-of-baidus-latest-options-trends,11/22/2024 14:49,"[{'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}]",BIDU,Alpha,0.210346,Somewhat-Bullish
"MSFT, GOOG, NVDA, SPGI, AAPL, TSLA","Market Clubhouse Morning Memo - November 22nd, 2024  ( Trade Strategy For SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META And TSLA )  - Alphabet  ( NASDAQ:GOOGL ) , Apple  ( NASDAQ:AAPL ) ","Good Morning Traders! In today's Market Clubhouse Morning Memo, we will discuss SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META, and TSLA. Our proprietary formula, exclusive to Market Clubhouse, dictates these price levels. This dynamic equation takes into account price, volume, and options flow.",Benzinga,https://www.benzinga.com/markets/24/11/42139282/market-clubhouse-morning-memo-november-22nd-2024-trade-strategy-for-spy-qqq-aapl-msft-nvda-googl-met,11/22/2024 14:48,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.623304'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}]","MSFT, GOOG, NVDA, SPGI, AAPL, TSLA",Alpha,0.078154,Neutral
"PEP, HRL, KO, HSY","If I Could Only Buy 3 Consumer Staples Stocks in the Last Half of 2024, I'd Pick These","I prefer to use the term ""frugal,"" but in reality I'm just cheap. That's a core aspect of my life and my investment philosophy. I just don't like overpaying for anything. That's why, if I could buy only three stocks as 2024 comes to a close, they'd be PepsiCo ( NASDAQ: PEP ) , Hormel Foods ( ...",Motley Fool,https://www.fool.com/investing/2024/11/22/if-i-could-only-buy-3-consumer-staples-stocks-in/,11/22/2024 14:45,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.999365'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]","PEP, HRL, KO, HSY",Alpha,0.226439,Somewhat-Bullish
LWAY,"Edward and Ludmila Smolyansky Call for Lifeway Foods  ( NASDAQ: LWAY )  to Establish a Special Committee to Evaluate Danone's Offer - Lifeway Foods  ( NASDAQ:LWAY ) , Danone  ( OTC:DANOY ) ","CHICAGO, Nov. 22, 2024 /PRNewswire/ -- Edward and Ludmila Smolyansky ( ""Founding Shareholders"" ) , who together exercise voting control with respect to approximately 29.7% of the outstanding shares of common stock of Lifeway Foods, Inc.",Benzinga,https://www.benzinga.com/pressreleases/24/11/n42139181/edward-and-ludmila-smolyansky-call-for-lifeway-foods-nasdaq-lway-to-establish-a-special-committee-,11/22/2024 14:45,"[{'topic': 'Financial Markets', 'relevance_score': '0.929393'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",LWAY,Alpha,0.090421,Neutral
"CPRI, BAC, MS, TPR",What's Going On With Tapestry Stock Today? - Tapestry  ( NYSE:TPR ) ,"Tapestry, Inc. TPR has entered into Accelerated Share Repurchase agreements with Bank of America N.A. and Morgan Stanley & Co. LLC to repurchase $2.0 billion shares of common stock.",Benzinga,https://www.benzinga.com/24/11/42139172/whats-going-on-with-tapestry-stock-after-initiating-2b-share-repurchase-program,11/22/2024 14:44,"[{'topic': 'Financial Markets', 'relevance_score': '0.955357'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '0.5'}]","CPRI, BAC, MS, TPR",Alpha,0.394365,Bullish
RSI,Rush Street Interactive to Participate at Upcoming Investor Conferences - Rush Street Interactive  ( NYSE:RSI ) ,"CHICAGO, Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- Rush Street Interactive, Inc.",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42139169/rush-street-interactive-to-participate-at-upcoming-investor-conferences,11/22/2024 14:44,[],RSI,Alpha,0.254303,Somewhat-Bullish
RSI,Rush Street Interactive to Participate at Upcoming Investor Conferences,"CHICAGO, Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- Rush Street Interactive, Inc. ( NYSE: RSI ) ( ""RSI"" ) , a leading online casino and sports betting company in the United States and the rest of the Americas, today announced that Richard Schwartz, Chief Executive Officer and Kyle Sauers, Chief ...",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/22/2986047/0/en/Rush-Street-Interactive-to-Participate-at-Upcoming-Investor-Conferences.html,11/22/2024 14:44,[],RSI,Alpha,0.238139,Somewhat-Bullish
LMND,Lemonade Stock Is Rocketing Higher. Should You Buy or Sell?,A huge growth plan and positive analyst reception has the stock moving up big.,Motley Fool,https://www.fool.com/investing/2024/11/22/lemonade-stock-is-rocketing-higher-time-to-buy-or/,11/22/2024 14:43,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",LMND,Alpha,0.022287,Neutral
CURN,Abaxx Announces Closing of C$2.1 Million First Tranche of Strategic Financing,"TORONTO, Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- Abaxx Technologies Inc. ( CBOE CA:ABXX ) ( ""Abaxx"" or the ""Company"" ) , a financial software and market infrastructure company, majority shareholder of Abaxx Singapore Pte Ltd., the owner of Abaxx Commodity Exchange and Clearinghouse ( individually, ...",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42139008/abaxx-announces-closing-of-c-2-1-million-first-tranche-of-strategic-financing,11/22/2024 14:38,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.818451'}]",CURN,Alpha,0.095698,Neutral
CURN,Abaxx Announces Closing of C$2.1 Million First Tranche of Strategic Financing,/NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES/ ...,GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/22/2986045/0/en/Abaxx-Announces-Closing-of-C-2-1-Million-First-Tranche-of-Strategic-Financing.html,11/22/2024 14:38,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.714479'}]",CURN,Alpha,0.102898,Neutral
CAUD,IBN and BioMedWire Announce Fifth Year as Official Media Partners for Dynamic Global Events'  ( DGE )  2025 Life Sciences Conferences,"LOS ANGELES, Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- IBN, a leading communications organization with an extensive portfolio of over 60 brands, is excited to announce its fifth consecutive year partnering with Dynamic Global Events ( DGE ) as an official media sponsor for 2025.",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42138981/ibn-and-biomedwire-announce-fifth-year-as-official-media-partners-for-dynamic-global-events-dge-20,11/22/2024 14:35,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",CAUD,Alpha,0.413793,Bullish
CRYPTO:DOGE,"Spirit Blockchain Acquires Dogecoin Portfolio Holding Corp., Paving the Way for Expanded Ecosystem Utility as the first public proxy and for Future Adoption","Vancouver, BC, Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- Spirit Blockchain Capital Inc. ( CSE: SPIR ) , ( ""Spirit"" ) , a leader in digital finance and blockchain innovation, is pleased to announce the closing of the acquisition of Dogecoin Portfolio Holding Corp marking a pivotal milestone in our ...",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/22/2986043/0/en/Spirit-Blockchain-Acquires-Dogecoin-Portfolio-Holding-Corp-Paving-the-Way-for-Expanded-Ecosystem-Utility-as-the-first-public-proxy-and-for-Future-Adoption.html,11/22/2024 14:34,"[{'topic': 'Blockchain', 'relevance_score': '0.928139'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}]",CRYPTO:DOGE,Alpha,0.482126,Bullish
XOS,"Xos, Inc. Powers Crown Linen Service, Inc.'s Energy Initiatives with Battery-Electric Stepvans - Xos  ( NASDAQ:XOS ) ","LOS ANGELES, Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- Xos, Inc. XOS, a leader in the electrification of fleets, is excited to announce a purchase order from Crown Linen Service, Inc., a leading provider of linen and uniform rental services.",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42138951/xos-inc-powers-crown-linen-service-inc-s-energy-initiatives-with-battery-electric-stepvans,11/22/2024 14:32,"[{'topic': 'Real Estate & Construction', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.495866'}]",XOS,Alpha,0.242345,Somewhat-Bullish
CRYPTO:BTC,"Bitcoin Zeroes In On $100,000, But This Indicator Signals One More Brief Correction","Bitcoin BTC/USD continues its climb toward $100,000, but traders are adopting cautious approaches to prepare for potential corrections. What Happened: Crypto chart analyst Ali Martinez observed a sell signal on Bitcoin's 4-hour chart, indicating a possible brief correction to $97,085.",Benzinga,https://www.benzinga.com/markets/cryptocurrency/24/11/42138947/bitcoin-zeroes-in-on-100000-but-this-indicator-signals-one-more-brief-correction,11/22/2024 14:32,[],CRYPTO:BTC,Alpha,-0.0121,Neutral
